Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
District - Vellore,Urban,60+,867,528,339,294,155,139,15,10,5,426,242,184,67,60,7,3,3,0,70,34,36,104,84,20,0,0,0,115,59,56,0,0,0,59,35,24,14,12,2,14,12,2,0,0,0,2,2,0,8,6,2,15,11,4,20,6,14,34,6,28,195,101,94
District - Vellore,Urban,Unknown,13,8,5,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,3,3
District - Tiruvannamalai,Total,15-34,30688,14871,15817,6323,2789,3534,1836,899,937,25591,10553,15038,292,180,112,14,12,2,434,182,252,1534,882,652,44,44,0,2808,2188,620,6,6,0,628,452,176,566,550,16,280,258,22,6,0,6,30,18,12,118,104,14,206,146,60,348,102,246,340,106,234,1930,978,952
District - Tiruvannamalai,Total,35-59,27990,12504,15486,5676,2185,3491,2190,1264,926,26672,10633,16039,370,196,174,12,12,0,272,96,176,506,350,156,30,30,0,1602,1042,560,0,0,0,354,238,116,202,200,2,108,90,18,0,0,0,2,0,2,42,42,0,114,82,32,124,62,62,310,50,260,756,302,454
District - Tiruvannamalai,Total,60+,5670,3099,2571,1502,756,746,557,382,175,5825,2993,2832,132,96,36,0,0,0,80,38,42,28,28,0,0,0,0,164,112,52,0,0,0,98,56,42,18,12,6,10,6,4,0,0,0,6,6,0,2,2,0,12,8,4,14,12,2,72,38,34,154,66,88
District - Tiruvannamalai,Total,Unknown,36,23,13,22,11,11,1,1,0,33,15,18,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
District - Tiruvannamalai,Rural,15-34,28638,13809,14829,5886,2566,3320,1776,863,913,24610,10132,14478,244,152,92,14,12,2,394,164,230,1344,788,556,32,32,0,2464,1936,528,6,6,0,480,364,116,488,474,14,260,238,22,0,0,0,24,12,12,86,84,2,156,112,44,276,82,194,286,96,190,1584,828,756
District - Tiruvannamalai,Rural,35-59,26273,11686,14587,5263,1994,3269,2141,1245,896,25561,10161,15400,316,180,136,12,12,0,238,78,160,434,310,124,12,12,0,1356,908,448,0,0,0,218,164,54,158,156,2,82,70,12,0,0,0,2,0,2,24,24,0,92,64,28,96,42,54,238,38,200,556,216,340
District - Tiruvannamalai,Rural,60+,5401,2952,2449,1410,711,699,540,374,166,5615,2879,2736,104,72,32,0,0,0,74,38,36,28,28,0,0,0,0,150,106,44,0,0,0,64,48,16,6,6,0,8,6,2,0,0,0,6,6,0,2,2,0,10,6,4,14,12,2,64,32,32,126,48,78
District - Tiruvannamalai,Rural,Unknown,32,22,10,22,11,11,1,1,0,29,14,15,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
District - Tiruvannamalai,Urban,15-34,2050,1062,988,437,223,214,60,36,24,981,421,560,48,28,20,0,0,0,40,18,22,190,94,96,12,12,0,344,252,92,0,0,0,148,88,60,78,76,2,20,20,0,6,0,6,6,6,0,32,20,12,50,34,16,72,20,52,54,10,44,346,150,196
District - Tiruvannamalai,Urban,35-59,1717,818,899,413,191,222,49,19,30,1111,472,639,54,16,38,0,0,0,34,18,16,72,40,32,18,18,0,246,134,112,0,0,0,136,74,62,44,44,0,26,20,6,0,0,0,0,0,0,18,18,0,22,18,4,28,20,8,72,12,60,200,86,114
District - Tiruvannamalai,Urban,60+,269,147,122,92,45,47,17,8,9,210,114,96,28,24,4,0,0,0,6,0,6,0,0,0,0,0,0,14,6,8,0,0,0,34,8,26,12,6,6,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,6,2,28,18,10
District - Tiruvannamalai,Urban,Unknown,4,1,3,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Viluppuram,Total,15-34,63724,30567,33157,10679,4608,6071,3222,1618,1604,54509,23527,30982,642,450,192,108,68,40,724,264,460,1944,1272,672,20,14,6,4030,2688,1342,24,24,0,1178,856,322,954,938,16,378,352,26,0,0,0,116,84,32,98,84,14,320,198,122,588,256,332,1252,342,910,4296,2140,2156
District - Viluppuram,Total,35-59,58895,26675,32220,9594,3701,5893,3482,1908,1574,55863,23762,32101,810,446,364,176,98,78,578,238,340,718,522,196,38,32,6,2840,1266,1574,8,8,0,568,382,186,386,386,0,138,96,42,0,0,0,32,24,8,32,32,0,240,166,74,194,70,124,794,196,598,1592,744,848
District - Viluppuram,Total,60+,11607,6462,5145,2545,1319,1226,868,588,280,11688,6383,5305,192,108,84,52,26,26,146,74,72,64,52,12,12,12,0,364,134,230,0,0,0,118,86,32,12,12,0,8,0,8,0,0,0,0,0,0,0,0,0,56,44,12,0,0,0,190,48,142,382,214,168
District - Viluppuram,Total,Unknown,176,85,91,26,10,16,6,2,4,124,61,63,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,24,38
District - Viluppuram,Rural,15-34,60009,28427,31582,9767,4124,5643,3179,1588,1591,52923,22729,30194,560,390,170,32,20,12,670,252,418,1724,1118,606,12,12,0,3412,2188,1224,24,24,0,928,666,262,826,810,16,326,310,16,0,0,0,92,60,32,68,56,12,232,148,84,512,226,286,1020,286,734,3236,1668,1568
District - Viluppuram,Rural,35-59,55433,24613,30820,8624,3216,5408,3415,1857,1558,53872,22726,31146,670,350,320,50,36,14,500,212,288,568,400,168,24,24,0,2304,892,1412,8,8,0,396,262,134,236,236,0,84,60,24,0,0,0,24,18,6,14,14,0,140,104,36,128,56,72,610,146,464,1014,428,586
District - Viluppuram,Rural,60+,11040,6094,4946,2381,1229,1152,836,560,276,11337,6155,5182,158,82,76,10,6,4,140,74,66,56,44,12,6,6,0,338,116,222,0,0,0,84,56,28,6,6,0,2,0,2,0,0,0,0,0,0,0,0,0,26,24,2,0,0,0,140,42,98,282,152,130
District - Viluppuram,Rural,Unknown,120,55,65,26,10,16,6,2,4,124,61,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
District - Viluppuram,Urban,15-34,3715,2140,1575,912,484,428,43,30,13,1586,798,788,82,60,22,76,48,28,54,12,42,220,154,66,8,2,6,618,500,118,0,0,0,250,190,60,128,128,0,52,42,10,0,0,0,24,24,0,30,28,2,88,50,38,76,30,46,232,56,176,1060,472,588
District - Viluppuram,Urban,35-59,3462,2062,1400,970,485,485,67,51,16,1991,1036,955,140,96,44,126,62,64,78,26,52,150,122,28,14,8,6,536,374,162,0,0,0,172,120,52,150,150,0,54,36,18,0,0,0,8,6,2,18,18,0,100,62,38,66,14,52,184,50,134,578,316,262
District - Viluppuram,Urban,60+,567,368,199,164,90,74,32,28,4,351,228,123,34,26,8,42,20,22,6,0,6,8,8,0,6,6,0,26,18,8,0,0,0,34,30,4,6,6,0,6,0,6,0,0,0,0,0,0,0,0,0,30,20,10,0,0,0,50,6,44,100,62,38
District - Viluppuram,Urban,Unknown,56,30,26,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,24,26
District - Salem,Total,15-34,10503,4860,5643,1751,847,904,294,123,171,6351,2340,4011,196,79,117,47,35,12,183,37,146,1036,665,371,29,26,3,1550,928,622,3,3,0,344,255,89,338,324,14,39,26,13,0,0,0,47,41,6,63,45,18,169,131,38,306,85,221,95,9,86,1164,555,609
District - Salem,Total,35-59,11627,4874,6753,2024,760,1264,330,150,180,8673,3125,5548,323,147,176,63,32,31,169,53,116,739,437,302,57,38,19,1599,658,941,0,0,0,300,187,113,221,210,11,69,36,33,0,0,0,23,18,5,54,48,6,168,136,32,137,53,84,74,12,62,652,294,358
District - Salem,Total,60+,2674,1340,1334,673,289,384,104,56,48,2349,1095,1254,104,56,48,12,12,0,72,33,39,96,71,25,5,3,2,283,102,181,0,0,0,62,45,17,18,18,0,0,0,0,0,0,0,0,0,0,9,9,0,35,35,0,4,0,4,30,12,18,164,82,82
District - Salem,Total,Unknown,10,4,6,1,0,1,3,0,3,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
District - Salem,Rural,15-34,7068,3025,4043,995,394,601,235,104,131,5136,1829,3307,126,49,77,38,26,12,106,16,90,453,295,158,17,17,0,974,497,477,0,0,0,156,114,42,212,198,14,9,3,6,0,0,0,11,11,0,15,9,6,51,39,12,136,35,101,45,3,42,343,174,169
District - Salem,Rural,35-59,8201,3219,4982,1166,368,798,277,131,146,6813,2425,4388,207,109,98,58,29,29,79,32,47,273,166,107,21,18,3,1045,297,748,0,0,0,123,78,45,108,105,3,17,9,8,0,0,0,6,6,0,21,18,3,36,29,7,63,26,37,33,6,27,187,103,84
District - Salem,Rural,60+,1990,964,1026,453,179,274,91,50,41,1856,851,1005,76,45,31,12,12,0,47,21,26,39,22,17,0,0,0,198,53,145,0,0,0,30,27,3,6,6,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,0,2,0,2,18,12,6,59,35,24
District - Salem,Rural,Unknown,7,4,3,1,0,1,2,0,2,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Salem,Urban,15-34,3435,1835,1600,756,453,303,59,19,40,1215,511,704,70,30,40,9,9,0,77,21,56,583,370,213,12,9,3,576,431,145,3,3,0,188,141,47,126,126,0,30,23,7,0,0,0,36,30,6,48,36,12,118,92,26,170,50,120,50,6,44,821,381,440
District - Salem,Urban,35-59,3426,1655,1771,858,392,466,53,19,34,1860,700,1160,116,38,78,5,3,2,90,21,69,466,271,195,36,20,16,554,361,193,0,0,0,177,109,68,113,105,8,52,27,25,0,0,0,17,12,5,33,30,3,132,107,25,74,27,47,41,6,35,465,191,274
District - Salem,Urban,60+,684,376,308,220,110,110,13,6,7,493,244,249,28,11,17,0,0,0,25,12,13,57,49,8,5,3,2,85,49,36,0,0,0,32,18,14,12,12,0,0,0,0,0,0,0,0,0,0,6,6,0,29,29,0,2,0,2,12,0,12,105,47,58
District - Salem,Urban,Unknown,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
District - Namakkal,Total,15-34,5853,2558,3295,641,203,438,248,93,155,3546,1212,2334,196,94,102,0,0,0,68,8,60,298,194,104,4,2,2,622,388,234,0,0,0,194,156,38,176,170,6,22,18,4,0,0,0,36,30,6,26,18,8,70,56,14,166,56,110,118,12,106,704,254,450
District - Namakkal,Total,35-59,7319,2979,4340,685,175,510,283,121,162,5827,2113,3714,252,102,150,14,6,8,100,26,74,178,88,90,8,6,2,610,260,350,6,6,0,106,52,54,124,124,0,40,38,2,0,0,0,6,6,0,24,18,6,38,28,10,60,18,42,92,44,48,236,98,138
District - Namakkal,Total,60+,2103,1091,1012,355,155,200,77,46,31,1947,928,1019,64,44,20,0,0,0,24,24,0,40,24,16,2,0,2,146,96,50,0,0,0,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0,6,0,6,22,6,16,102,60,42
District - Namakkal,Total,Unknown,11,5,6,0,0,0,0,0,0,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Namakkal,Rural,15-34,4633,1954,2679,524,159,365,170,60,110,3159,1071,2088,188,86,102,0,0,0,42,6,36,212,132,80,0,0,0,450,270,180,0,0,0,132,112,20,136,136,0,8,6,2,0,0,0,24,24,0,10,10,0,34,28,6,122,36,86,94,12,82,376,124,252
District - Namakkal,Rural,35-59,6032,2414,3618,605,161,444,197,74,123,5014,1825,3189,228,96,132,14,6,8,68,26,42,118,70,48,0,0,0,494,184,310,0,0,0,66,46,20,82,82,0,32,32,0,0,0,0,6,6,0,12,6,6,26,22,4,54,18,36,86,38,48,140,44,96
District - Namakkal,Rural,60+,1773,915,858,309,137,172,70,42,28,1668,788,880,62,44,18,0,0,0,24,24,0,38,24,14,0,0,0,122,78,44,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0,6,0,6,22,6,16,54,34,20
District - Namakkal,Rural,Unknown,9,5,4,0,0,0,0,0,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Namakkal,Urban,15-34,1220,604,616,117,44,73,78,33,45,387,141,246,8,8,0,0,0,0,26,2,24,86,62,24,4,2,2,172,118,54,0,0,0,62,44,18,40,34,6,14,12,2,0,0,0,12,6,6,16,8,8,36,28,8,44,20,24,24,0,24,328,130,198
District - Namakkal,Urban,35-59,1287,565,722,80,14,66,86,47,39,813,288,525,24,6,18,0,0,0,32,0,32,60,18,42,8,6,2,116,76,40,6,6,0,40,6,34,42,42,0,8,6,2,0,0,0,0,0,0,12,12,0,12,6,6,6,0,6,6,6,0,96,54,42
District - Namakkal,Urban,60+,330,176,154,46,18,28,7,4,3,279,140,139,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2,24,18,6,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,26,22
District - Namakkal,Urban,Unknown,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Erode,Total,15-34,6651,3089,3562,1244,585,659,139,65,74,4668,1926,2742,129,58,71,14,12,2,125,34,91,800,498,302,6,3,3,558,346,212,5,5,0,169,115,54,145,131,14,3,3,0,0,0,0,24,18,6,44,26,18,68,51,17,120,46,74,121,14,107,757,323,434
District - Erode,Total,35-59,7822,3351,4471,1408,544,864,125,61,64,7049,2858,4191,268,132,136,2,0,2,144,51,93,295,159,136,14,9,5,568,260,308,3,3,0,133,55,78,51,33,18,8,6,2,0,0,0,9,6,3,24,24,0,80,42,38,55,15,40,92,32,60,310,149,161
District - Erode,Total,60+,1997,1099,898,555,262,293,63,31,32,1917,1043,874,109,64,45,0,0,0,69,25,44,61,39,22,9,0,9,123,64,59,0,0,0,28,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,6,3,3,0,22,9,13,131,60,71
District - Erode,Total,Unknown,10,0,10,9,1,8,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6
District - Erode,Rural,15-34,4842,2148,2694,772,375,397,115,52,63,3583,1485,2098,96,40,56,14,12,2,74,22,52,496,322,174,0,0,0,382,208,174,0,0,0,56,44,12,98,92,6,0,0,0,0,0,0,6,0,6,20,8,12,30,24,6,66,28,38,108,12,96,470,174,296
District - Erode,Rural,35-59,5748,2428,3320,854,333,521,105,51,54,5341,2170,3171,232,112,120,2,0,2,62,28,34,118,62,56,0,0,0,378,156,222,0,0,0,64,26,38,24,18,6,2,0,2,0,0,0,0,0,0,6,6,0,44,20,24,16,6,10,66,26,40,142,80,62
District - Erode,Rural,60+,1468,819,649,372,188,184,55,26,29,1427,807,620,86,52,34,0,0,0,40,8,32,36,30,6,2,0,2,98,44,54,0,0,0,22,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,14,6,8,52,20,32
District - Erode,Rural,Unknown,10,0,10,9,1,8,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6
District - Erode,Urban,15-34,1809,941,868,472,210,262,24,13,11,1085,441,644,33,18,15,0,0,0,51,12,39,304,176,128,6,3,3,176,138,38,5,5,0,113,71,42,47,39,8,3,3,0,0,0,0,18,18,0,24,18,6,38,27,11,54,18,36,13,2,11,287,149,138
District - Erode,Urban,35-59,2074,923,1151,554,211,343,20,10,10,1708,688,1020,36,20,16,0,0,0,82,23,59,177,97,80,14,9,5,190,104,86,3,3,0,69,29,40,27,15,12,6,6,0,0,0,0,9,6,3,18,18,0,36,22,14,39,9,30,26,6,20,168,69,99
District - Erode,Urban,60+,529,280,249,183,74,109,8,5,3,490,236,254,23,12,11,0,0,0,29,17,12,25,9,16,7,0,7,25,20,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,3,3,0,8,3,5,79,40,39
District - Erode,Urban,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - The Nilgiris,Total,15-34,4250,2434,1816,616,345,271,106,55,51,952,506,446,1224,578,646,0,0,0,60,24,36,256,146,110,32,30,2,504,414,90,0,0,0,172,126,46,176,170,6,16,16,0,0,0,0,18,12,6,18,12,6,52,50,2,90,26,64,36,8,28,1154,606,548
District - The Nilgiris,Total,35-59,4446,2247,2199,757,390,367,78,40,38,1379,675,704,2332,996,1336,6,6,0,56,20,36,126,106,20,12,6,6,538,402,136,0,0,0,90,62,28,118,112,6,36,26,10,0,0,0,2,0,2,32,26,6,66,52,14,42,18,24,32,12,20,258,78,180
District - The Nilgiris,Total,60+,882,530,352,227,113,114,28,17,11,247,130,117,538,320,218,0,0,0,14,12,2,32,32,0,2,2,0,98,66,32,0,0,0,8,6,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,28,14,14,102,44,58
District - The Nilgiris,Total,Unknown,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - The Nilgiris,Rural,15-34,1306,743,563,286,147,139,66,33,33,380,175,205,492,250,242,0,0,0,14,6,8,80,56,24,12,12,0,78,56,22,0,0,0,34,28,6,62,56,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,18,24,8,2,6,322,196,126
District - The Nilgiris,Rural,35-59,1386,653,733,386,214,172,54,25,29,520,232,288,870,398,472,0,0,0,40,18,22,50,50,0,0,0,0,72,54,18,0,0,0,26,20,6,24,24,0,6,6,0,0,0,0,0,0,0,8,2,6,24,12,12,18,0,18,20,6,14,40,20,20
District - The Nilgiris,Rural,60+,370,226,144,92,45,47,17,11,6,105,62,43,224,136,88,0,0,0,6,6,0,6,6,0,0,0,0,20,6,14,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,20,14,6,50,24,26
District - The Nilgiris,Rural,Unknown,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - The Nilgiris,Urban,15-34,2944,1691,1253,330,198,132,40,22,18,572,331,241,732,328,404,0,0,0,46,18,28,176,90,86,20,18,2,426,358,68,0,0,0,138,98,40,114,114,0,14,14,0,0,0,0,18,12,6,18,12,6,52,50,2,48,8,40,28,6,22,832,410,422
District - The Nilgiris,Urban,35-59,3060,1594,1466,371,176,195,24,15,9,859,443,416,1462,598,864,6,6,0,16,2,14,76,56,20,12,6,6,466,348,118,0,0,0,64,42,22,94,88,6,30,20,10,0,0,0,2,0,2,24,24,0,42,40,2,24,18,6,12,6,6,218,58,160
District - The Nilgiris,Urban,60+,512,304,208,135,68,67,11,6,5,142,68,74,314,184,130,0,0,0,8,6,2,26,26,0,2,2,0,78,60,18,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,0,8,52,20,32
District - The Nilgiris,Urban,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Dindigul,Total,15-34,12553,5943,6610,2227,970,1257,399,203,196,8590,3625,4965,250,122,128,17,17,0,241,52,189,926,521,405,13,8,5,1373,736,637,0,0,0,439,357,82,251,251,0,50,42,8,0,0,0,40,28,12,47,40,7,70,32,38,182,66,116,271,81,190,1621,732,889
District - Dindigul,Total,35-59,14083,6214,7869,2422,826,1596,377,167,210,11517,4732,6785,465,179,286,28,20,8,304,98,206,364,223,141,10,8,2,1800,718,1082,0,0,0,267,170,97,101,101,0,90,51,39,0,0,0,8,6,2,106,83,23,132,108,24,83,30,53,122,18,104,731,328,403
District - Dindigul,Total,60+,3186,1636,1550,746,352,394,113,57,56,2753,1371,1382,127,75,52,12,6,6,67,40,27,85,55,30,9,9,0,312,104,208,0,0,0,68,53,15,11,11,0,6,0,6,0,0,0,0,0,0,12,12,0,24,18,6,0,0,0,25,18,7,308,159,149
District - Dindigul,Total,Unknown,27,15,12,1,1,0,1,1,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
District - Dindigul,Rural,15-34,9898,4630,5268,1889,795,1094,353,183,170,7590,3188,4402,180,86,94,0,0,0,176,36,140,726,410,316,6,6,0,942,468,474,0,0,0,276,234,42,182,182,0,16,8,8,0,0,0,22,22,0,30,28,2,30,12,18,104,36,68,194,66,128,960,460,500
District - Dindigul,Rural,35-59,11163,4877,6286,2139,710,1429,324,156,168,9922,4081,5841,320,128,192,22,14,8,218,68,150,242,148,94,2,2,0,1342,484,858,0,0,0,118,68,50,42,42,0,46,30,16,0,0,0,0,0,0,88,68,20,92,82,10,26,6,20,90,12,78,408,198,210
District - Dindigul,Rural,60+,2506,1270,1236,625,295,330,102,53,49,2335,1144,1191,76,54,22,0,0,0,48,32,16,70,40,30,6,6,0,240,68,172,0,0,0,36,32,4,0,0,0,4,0,4,0,0,0,0,0,0,12,12,0,18,12,6,0,0,0,20,18,2,164,94,70
District - Dindigul,Rural,Unknown,21,9,12,1,1,0,1,1,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
District - Dindigul,Urban,15-34,2655,1313,1342,338,175,163,46,20,26,1000,437,563,70,36,34,17,17,0,65,16,49,200,111,89,7,2,5,431,268,163,0,0,0,163,123,40,69,69,0,34,34,0,0,0,0,18,6,12,17,12,5,40,20,20,78,30,48,77,15,62,661,272,389
District - Dindigul,Urban,35-59,2920,1337,1583,283,116,167,53,11,42,1595,651,944,145,51,94,6,6,0,86,30,56,122,75,47,8,6,2,458,234,224,0,0,0,149,102,47,59,59,0,44,21,23,0,0,0,8,6,2,18,15,3,40,26,14,57,24,33,32,6,26,323,130,193
District - Dindigul,Urban,60+,680,366,314,121,57,64,11,4,7,418,227,191,51,21,30,12,6,6,19,8,11,15,15,0,3,3,0,72,36,36,0,0,0,32,21,11,11,11,0,2,0,2,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5,0,5,144,65,79
District - Dindigul,Urban,Unknown,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Karur,Total,15-34,2815,1344,1471,647,270,377,54,27,27,1806,671,1135,106,56,50,2,2,0,26,8,18,560,364,196,6,0,6,292,152,140,0,0,0,70,40,30,82,70,12,22,20,2,0,0,0,6,0,6,18,6,12,30,18,12,70,26,44,30,6,24,282,148,134
