Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
District - Thiruvallur,Rural,Unknown,49,29,20,7,0,7,0,0,0,22,9,13,0,0,0,0,0,0,0,0,0,16,8,8,0,0,0,6,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
District - Thiruvallur,Urban,15-34,9603,5672,3931,1816,1211,605,116,66,50,1064,557,507,86,61,25,9,9,0,181,95,86,2089,1420,669,50,41,9,1662,1341,321,0,0,0,498,348,150,595,562,33,125,109,16,5,5,0,179,131,48,111,99,12,490,374,116,272,81,191,222,44,178,3665,1540,2125
District - Thiruvallur,Urban,35-59,7147,4354,2793,1614,955,659,94,52,42,1469,771,698,138,88,50,16,12,4,243,118,125,1162,863,299,29,24,5,1976,1516,460,0,0,0,422,265,157,459,444,15,122,85,37,2,0,2,36,36,0,133,123,10,441,353,88,161,41,120,245,64,181,1613,454,1159
District - Thiruvallur,Urban,60+,998,631,367,272,164,108,29,21,8,266,149,117,33,24,9,0,0,0,20,11,9,91,76,15,6,6,0,239,183,56,0,0,0,96,41,55,26,23,3,14,6,8,0,0,0,3,3,0,21,21,0,39,35,4,16,0,16,25,15,10,346,181,165
District - Thiruvallur,Urban,Unknown,26,15,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,15,6,9
District - Chennai,Total,15-34,17431,9836,7595,3102,1981,1121,379,153,226,390,236,154,48,36,12,6,6,0,163,99,64,2028,1454,574,49,44,5,2683,2313,370,2,2,0,1130,798,332,1164,1118,46,250,223,27,7,2,5,380,252,128,280,227,53,1186,837,349,389,151,238,571,121,450,9428,3745,5683
District - Chennai,Total,35-59,11700,6993,4707,2656,1622,1034,219,108,111,341,220,121,81,66,15,8,5,3,276,120,156,1339,1008,331,75,56,19,3149,2648,501,3,3,0,1043,757,286,1272,1214,58,321,210,111,0,0,0,104,80,24,194,168,26,988,773,215,248,95,153,435,88,347,4260,996,3264
District - Chennai,Total,60+,1799,966,833,442,266,176,50,23,27,62,37,25,12,12,0,8,6,2,25,11,14,115,86,29,11,9,2,354,257,97,0,0,0,147,84,63,64,58,6,12,6,6,0,0,0,8,6,2,9,9,0,196,175,21,33,15,18,100,18,82,1035,420,615
District - Chennai,Total,Unknown,69,35,34,11,11,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,3,7,2,5,3,3,0,11,9,2,0,0,0,5,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,43,25,18
District - Chennai,Rural,15-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
